date	age_group	onsets
2020-04-03	NA	5
2020-04-04	0-14	27
2020-04-04	15-59	503
2020-04-04	60-79	155
2020-04-04	80+	115
2020-04-04	NA	2
2020-04-05	0-14	23
2020-04-05	15-59	436
2020-04-05	60-79	162
2020-04-05	80+	127
2020-04-05	NA	3
2020-04-06	0-14	17
2020-04-06	15-59	478
2020-04-06	60-79	157
2020-04-06	80+	145
2020-04-06	NA	5
2020-04-07	0-14	18
2020-04-07	15-59	478
2020-04-07	60-79	145
2020-04-07	80+	135
2020-04-07	NA	2
2020-04-08	0-14	16
2020-04-08	15-59	411
2020-04-08	60-79	152
2020-04-08	80+	127
2020-04-08	NA	3
2020-04-09	0-14	32
2020-04-09	15-59	445
2020-04-09	60-79	122
2020-04-09	80+	96
2020-04-09	NA	1
2020-04-10	0-14	21
2020-04-10	15-59	350
2020-04-10	60-79	115
2020-04-10	80+	124
2020-04-10	NA	2
2020-04-11	0-14	20
2020-04-11	15-59	344
2020-04-11	60-79	116
2020-04-11	80+	105
2020-04-11	NA	1
2020-04-12	0-14	14
2020-04-12	15-59	316
2020-04-12	60-79	76
2020-04-12	80+	121
2020-04-12	NA	1
2020-04-13	0-14	26
2020-04-13	15-59	281
2020-04-13	60-79	89
2020-04-13	80+	79
2020-04-13	NA	2
2020-04-14	0-14	13
2020-04-14	15-59	314
2020-04-14	60-79	75
2020-04-14	80+	90
2020-04-14	NA	2
2020-04-15	0-14	23
2020-04-15	15-59	277
2020-04-15	60-79	81
2020-04-15	80+	100
2020-04-15	NA	2
2020-04-16	0-14	15
2020-04-16	15-59	298
2020-04-16	60-79	86
2020-04-16	80+	78
2020-04-16	NA	2
2020-04-17	0-14	23
2020-04-17	15-59	234
2020-04-17	60-79	66
2020-04-17	80+	63
2020-04-17	NA	3
2020-04-18	0-14	9
2020-04-18	15-59	222
2020-04-18	60-79	72
2020-04-18	80+	84
2020-04-18	NA	1
2020-04-19	0-14	12
2020-04-19	15-59	193
2020-04-19	60-79	55
2020-04-19	80+	55
2020-04-19	NA	2
2020-04-20	0-14	13
2020-04-20	15-59	218
2020-04-20	60-79	63
2020-04-20	80+	54
2020-04-20	NA	1
2020-04-21	0-14	15
2020-04-21	15-59	192
2020-04-21	60-79	64
2020-04-21	80+	47
2020-04-21	NA	2
2020-04-22	0-14	13
2020-04-22	15-59	189
